id,nombres,apellidos,sentencia_id
1,Torres Carcomo,Nixon,4965
2,Moncada Zapata,Juan Carlos,4969
3,Arévalo Arévalo,Sabel Reinero,4974
4,Vargas Amaya,Janeth Adriana,4977
5,Gómez Burgos,Franco Ramiro,4977
6,Restrepo García,Hugo Armando,4977
7,Achury Urquijo,Sandra Patricia,4978
8,Díaz Campos,Jesús David,4978
9,Mora Apolinar,Patricia,4978
10,Marín,Kelly Johana,4978
11,Campos Tovar,Diana Carolina,4978
12,Poveda Rodríguez,Lina,4981
13,Sierra Mancera,Leidy,4981
14,Moyano Peña,Daniel Alexander,4981
15,Chacón Niampira,Sergio Iván,4981
16,Ibáñez Najar,Jorge Enrique,4983
17,Enciso Pava,Miguel Ángel,4983
18,Mendoza Quiñones,Juan Manuel,4983
19,Charry Urueña,Juan Manuel,4986
20,Vargas Mesa,Zoila Consuelo,4986
21,Cediel De Peña,Martha,4986
22,González,Édgar,4986
23,Herrera Mercado,Hernándo,4986
24,Robles Villa,Hernando,4988
25,Facio Lince,Mauricio,4991
26,Enciso Pava,Miguel Ángel,4991
27,Robles Villa,Hernando,4992
28,Enciso Pava,Miguel Ángel,4992
29,Toro Giraldo,Gilberto,4993
30,Robles Villa,Hernando,4993
31,Enciso Pava,Miguel Ángel,4993
32,Zapata Lugo,José Vicente,4995
33,Robles Villa,Hernando,4998
34,Robles Villa,Hernando,5000
35,Robles Villa,Hernando,5001
36,Suárez Cavelier,José Luís Jorge,5002
37,Del Castillo Maldonado,Gilberto,5003
38,Eliécer Torres Díaz,Jorge,5003
39,Rivera Villamizar,Jesús María ,5003
40,Otálora Angulo,Jorge Enrique,5003
41,Martinez Infante,Tatiana,5004
42,Ayala Ferro,Paula,5004
43,De Zubiría Samper,Andres,5007
44,Robles Villa,Hernando,5009
45,Pardo Ramos,Olga Raquel,5011
46,Pava Lugo,Mauricio,5012
47,Robles Villa,Hernando,5013
48,Robles Villa,Hernando,5016
49,Robles Villa,Hernando,5017
50,Rodriguez Valbuena,Diana Marcela,5020
51,Fajardo Lopez,Diana Marcela,5020
52,Vives Noguera,Manuel,5021
53,Guzmán Enciso, ingrid Katherine,5022
54,Márquez Ávila,Ana Virginia,5022
55,Saavedra Rojas,Edgar,5024
56,David Montoya,Jefferson,5028
57,Robles Villa,Hernando,5030
58,Bejarano Arias,Fernán Ignacio,5032
59,Robles Villa,Hernando,5033
60,Robles Villa,Hernando,5037
61,Manrique,Daniel Fernando,5039
62,Florian,Pedro Alejandro,5039
63,Robles Villa,Hernando,5040
64,Enciso Pava,Miguel Angel,5042
65,Galindo Caldas,Carlos Andres,5044
66,Mesa Falla,Carolina,5048
67,Hernandez Morales,Viviana,5048
68,Arboleda Ramirez,Laura,5058
69,Echeverry Prieto,Estefania,5058
70,Garcia Suarez,Maria Jose,5058
71,Romero,Daniela,5058
72,Gomez,Nicolas,5058
73,Cortés Mora,Lilibeth,5064
74,Giraldo Chica,Nicolás,5064
75,Gallón Giraldo,Gustavo,5064
76,Esparza Calderón,Fátima,5064
77,Rivera Rugeles,Juan Camilo,5064
78,9999,99999,5065
79,Palacios Arenas,Félix Arturo,5068
80,Nauffal Correa,Análida,5073
81,Restrepo Pardo,Iván Alejandro,5074
82,Robledo Castillo,Jorge Enrique,5075
83,Rivera Flórez,Guillermo,5075
84,García-Peña,Daniel,5075
85,Cepeda Castro,Iván,5075
86,Luque Fandiño,César Augusto,5075
87,Torres Carcamo,Nixon,5077
88,Tovar Ramírez,Ariadna Fernanda,5086
89,Pacheco Sáenz,Daniel,5086
90,Espinosa Restrepo,José Rafael,5086
91,Narváez González,Cristina,5086
92,Cadena Flechas,Christian Adrián,5086
93,Luna Quevedo,Diego Ernesto,5089
94,González Cortés,Wilson Rene,5090
95,Plata Ramos,Jaime,5095
96,Espitia Marín,Jesús Antonio,5095
97,Cruz Mantilla,Santiago,5095
98,Gómez Pineda,Óscar David,5095
99,Cifuentes Salamanca,Ricardo,5095
100,Quijano Aponte,Eduardo,5096
101,Pinto Solano,Estefany,5096
102,Gómez Pineda,Óscar David,5096
103,Sanabria Santos,Henry,5096
104,Corredor Reyes,Sandra Patricia,5099
105,Álvarez Escobar,Catherine,5099
106,Mateus González,Fabio Mauricio,5099
107,León Ruiz,Pedro Arbey,5099
108,Pulido Castillo,Marcelo,5099
109,Chaparro Ospina,Jeimmy Patricia,5101
110,Eisenhower,Jairo,5101
111,Ríos García,Martha Yanneth,5101
112,Granados Ayala,José Andrés,5101
113,Aldana Castaño,Arley Augusto,5101
114,Mora Forero,Karen Lorena,5104
115,Páez Matallana,Adriana Vanessa,5104
116,Alvarado Montoya,Marieth,5104
117,Barón Barón,Omar Joaquín,5104
118,García Sáenz,Carlos Andrés,5104
119,Gómez Pineda,Oscar David,5108
120,Quijano Aponte,Eduardo,5108
121,Banda Torregrosa,Domingo,5108
122,Sanabria Santos,Henry,5108
123,Hernández Campos,Digna Milena,5108
124,Zambrano,Mayerly Paola,5109
125,Español Sánchez,Viviana,5109
126,Hernández Campos,Crystian Enrique,5109
127,Cruz Mantilla,Santiago,5109
128,Sanabria Santos,Henry,5109
129,Ramos Jiménez,Jorge Armando,5111
130,Sanabria Santos,Henry,5112
131,Espitia Marín,Jesús Antonio,5112
132,Gómez Pineda,Oscar David,5112
133,Cruz Mantilla,Santiago,5112
134,Quijano Aponte,Eduardo,5112
135,Rincón Moya,María Virginia,5113
136,Hernández Lemus,Cindy Yanira,5113
137,Corredor,Margoth Susana,5113
138,García Cano,Miguel Ángel,5116
139,Laguna,Jhan Alejandro,5116
140,Ávila Olarte,Manuel,5116
141,Durán Vélez,Juanita,5117
142,Diazgranados Mesa,Santiago,5117
143,Salas Pretelt,Alejandro,5117
144,González Sosa,Rolfe Hernando,5117
145,Flórez Rojas,María Lorena,5117
146,Álvarez Ruiz,Julián,5118
147,Suárez Mendoza,Angélica Del Pilar,5118
148,Rangel,Martín Enrique,5118
149,Riveros Ramos,Ana Milena,5118
150,Ducuara Mora,Didier Andrés,5118
151,Rueda Celis,Álvaro,5121
152,Maldonado Lagos,Luis Fernando,5121
153,Sánchez Gallego,Juan Guillermo,5123
154,Robledo Riaga,Sergio,5123
155,Riaga De Robledo,Nohora Maritza,5123
156,Loaiza Ramírez,Orlando,5123
157,Zárate Durier,Esteban,5123
158,Nariño Alcocer,Juan Camilo,5129
159,Acevedo Romero,Consuelo,5131
160,Parra Gamboa,Jhon Jairo,5131
161,Escorcia Vargas,Luz Maria,5131
162,Herrera Mercado,Hernando,5132
163,Acero Moreno,Cesar Lamber,5133
164,Garzón Romero,Javier Gorgonio,5133
